Genus + Species + Sub species + Authority,Checklist code,Endemic status,Status with Criteria (South Asia),National Status - 1,Map file,Synonyms,Common names,Family,Habit,Habitat,Niche,Distribution,Global,South Asia,Extent of Occurrence,Area of Occupancy,Locations/subpopulations,Habitat status,Data source - 1,Threats,Threats to the taxon,Trade,Data source - 2,Population,Generation time,Mature individuals,Population trend,Data source - 3,Red List 2001 Status derived in the workshop,Ver. 3.1:,1997 CAMP (Ver. 2.3):,National Status - 2,Uncertainty,Other status,Red List of Threatened Species (2000),Microchiroptera Action Plan (Global),Old World Fruit Bats Action Plan (Global),CITES,Known presence in Protected Areas,Recommendations ,Research,Management,Captive breeding,Comments ,Sources,Compilers,Reviewers,Recent Field Studies
"Myotis mystacinus (Kuhl, 1819)",BAT57,Non Endemic to South Asia,VULNERABLE  in South Asia [D1] ,"India  Vulnerable D1 
Nepal  Vulnerable D1 
Pakistan  Vulnerable D1 ",Myotis_mystacinus_map.pdf,"Vespertilio mystacinus  Kuhl, 1819
Vespertilio pallidiventris  Hodgson, 1844
Vespertilio nipalensis  Dobson, 1871
Myotis meinertzhageni  Thomas, 1926",Whiskered Bat,Vespertilionidae,Insectivorous (mainly Lepidoptera),"Desert, semidesert, warm tropical lowland, montane forest. ",20-3015m. ,,"India, Pakistan, Afghanistan and most of paleoarctic regions","AFGHANISTAN: Kabul, Kunduz, Maimana, Mazar-i-Sharif: INDIA: Himachal Pradesh: Chirot; Jammu & Kashmir: Junction of Nubra-Shyok rivers, Rambon, Shikargarh, Sirguffara; Meghalaya: Cherrapunji, Mawphlang; West Bengal: Choka, Darjeeling, Hasimara; NEPAL: Kathmandu; PAKISTAN: NWFP: Dir, Shogran, Kaghan Valley (lower); Punjab: Dunga Gali, Murree Hills, Punjab ","> 20,000 sq km. ","> 2,000 sq km. Estimated based on 10 km foraging radius and > 20 locations.",>20 / not known. Fragmented.  ,< 10% decrease in area in the past 10 years due to habitat alteration. Decrease in quality due to habitat alteration. ,"Literature, Field study; Inferred",,"Habitat loss, human interference. The influence on the population well understood, not reversible and have not ceased to be a threat.",,"Literature, Field study; Inferred; range of opinion",,4-6 years,< 1000,< 10% decline in the population likely in the next 5 years.,Literature; inferred.,,"VULNERABLE D1  
Very few numbers estimated to exist in South Asia, few localities and continuing decline in numbers.  Recent Afghanistan war could have fragmented the South Asian populations from the rest, hence categorized as Vulnerable. ",,"India  Vulnerable D1 
Nepal  Vulnerable D1 
Pakistan  Vulnerable D1 ",Assessed based on inference and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey ,Monitoring,,"Assuming 20 locations and 50 individuals. Based on studies in Europe. Assuming Afghanistan locations are threatened due to war. Records/Collections (BNHS, 1922-24 in Himachal Pradesh, Sikkim; ZSI, 1916 in Darjeeling). Restricted distribution.","Bates & Harrison, 1997; Dobson, 1871; Kuhl, 1819; Hodgson, 1844; Hutson  et al.  2001; Thomas, 1926","S. Mistry, K.R. Senacha, C. Srinivasulu",Rest of the participants,"V.S. Korad and K. Yardi in Pune, 1998-2001, Faunistic survey"
"Myotis sicariusThomas, 1915",BAT47,Non Endemic to South Asia,VULNERABLE  in South Asia [B2ab(iii)] ,"India  Endangered  B2ab(iii)
Nepal  Vulnerable B2ab(iii) ",Myotis_sicarius_map.pdf,,Mandelli's Mouse-eared Bat,Vespertilionidae,"Riverbank, valley",Hilly forests,1350m. ,,"Endemic to South Asia (India, Nepal)","INDIA: Sikkim: Rongli; West Bengal: Pashok; NEPAL: Banss Bahari, Godavari, Annapurna Conservation area","> 20,000 sq km. ",11-500 sq km.  ,6-7 / not known. Contiguous. ,< 10% decrease in area likely in the next 5 years due to habitat alterations and deforestation around Annapurna Conservation area (Nepal).,Literature; Inferred.,,"Habitat loss, deforestation, human interference",,,,Not known,Not known,Not known,Museum record,,"VULNERABLE B2ab(iii) 
Highly restricted in distribution with continuing decline in habitat predicted, which could affect the population in future.",,"India  Endangered  B2ab(iii)
Nepal  Vulnerable B2ab(iii) ","Assessed based on evidence, inference, precaution and on the consensus of field biologists.",,Vulnerable A2c; D2,Vulnerable A2c; D2,,Not listed,NEPAL: Annapurna Conservation area ,,Survey ,Monitoring,,Endemic to Indian subcontinent. No fluctuation because four locations have been known since 1960 and there is no indication of increase or decrease.  Additional information on distribution reported by Shrestha based on indirect information.,"Bates & Harrison, 1997; Hutson  et al., 2001; Shrestha, 1997; Thomas, 1915","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,"Shrestha, T.K. in Annapurna Conservation area, Nepal, 1997-99. Mammals of Nepal "
"Myotis siligorensis(Horsfield, 1855) ",BAT58,Non Endemic to South Asia,NEAR THREATENED  in South Asia ,"India  Near Threatened 
Nepal  Near Threatened ",Myotis_siligorensis_map.pdf,"Vespertilio siligorensis  Horsfield, 1855
?Verpertilio darjilingensis  Horsfield, 1855","Himalayan Whiskered Bat, Siliguri Bat",Vespertilionidae,"Insectivorous, colonial (small groups). ",Montane temperate forests. ,Caves.  14-2717m. ,,"India, Myanmar, China, Vietnam, Indonesia to Borneo ","INDIA: Meghalaya: Konshnong; Sikkim: Bakkim; Uttaranchal: Dwali, Dogalbita, Mussoorie; West Bengal: Siliguri, Ghum; MYANMAR (NORTHERN): Hai Bum, Adung Valley; NEPAL: Kathmandu Valley","> 20,000 sq km.","> 2,000 sq km.  ",About 10 / not known. Fragmented. ,< 10% decrease in area in the last 5 due to habitat destruction. Decrease in quality due to habitat destruction. ,"Literature, indirect information; inferred.",,"Human interference. The influence on the population well understood, not reversible and have not ceased to be a threat. ",,"Literature, indirect information; inferred.",,4-7 years,"> 10,000","> 10,000.  There is decline in the population in the past. <10% decline likely in the next 5 years.","Field study, literature; observed; range of opinion",,"NEAR THREATENED 
Change in habitat quality is a major cause of concern for this species. ",,"India  Near Threatened 
Nepal  Near Threatened ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None ,,Survey ,Monitoring,,Korad lists this species from Pune (?). According to Korad change in habitat approx. 80% primarily due to human interference. Population trends based on 7 individuals per colony at 11 locations. This estimate maybe highly conservative and not representative of a true population. Mistry and Sreepada strongly disagree with the status because it is based upon unreliable population estimate.,"Bates & Harrison, 1997; Horsfield, 1855; Hutson  et al.  2001","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,"V.S. Korad and Kranti, Pune, 1998-2000"
"Nyctalus leisleri (Kuhl, 1819)",BAT59,Non Endemic to South Asia,ENDANGERED in South Asia [D] ,"India  Endangered D 
Pakistan  Endangered D ",Nyctalus_leisleri_map.pdf,"Vespertilio leisleri  Kuhl, 1819 ","Hairy-armed Bat, Leisler's Bat",Vespertilionidae,"Insectivorous, piscivore (?), riverine. ","Montane forests, riparian. ",Hollow trees/1380-2370m. ,,"Afghanistan, India, Pakistan, Palearctic east to about 80 degrees ","AFGHANISTAN: Kamdesh: INDIA: Himachal Pradesh: Simla; Jammu & Kashmir: Pahlgam; Uttar Pradesh: Dogalbita, Katarmal; PAKISTAN: NWFP: Kululai, Yakh Tangai; Punjab: Gharial ","> 20,000 sq km. ","> 2,001 sq km. ",7 / not known. Contiguous. ,< 10% decrease in area in the last 5 years due to habitat alteration. Decrease in quality due to habitat alteration. ,"Literature, indirect information; inferred; range of opinion.",,"Habitat loss, habitat alteration. The influence on the population well understood, not reversible and have not ceased to be a threat.",,"Literature, indirect information; inferred; 95% confidence.",,4-6 years,<250. <10% decline in the number of mature individuals likely in the future.,Not known ,"Observed, inferred",,"ENDANGERED D 
Very few numbers in South Asia with continuing decline observed in habitat and inferred for population. ",,"India  Endangered D 
Pakistan  Endangered D ",Assessed based on evidence and on the consensus of field biologists.,,Lower Risk near threatened,Lower Risk near threatened,,Not listed,None,,Survey studies,Monitoring,,"The genus Nyctalus is known to migrate. Europe colony size 60-200 and about a maximum of 40 individuals per colony, in 7 locations estimated for South Asian region. Based on small numbers of records observed over a long length at the foothills of Himalayas and Nagaland of a species with long foraging range.","Bates & Harrison, 1997; Hutson  et al., 2001; Kuhl, 1819; Walker, 1983","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,None
"Nyctalus montanus (Barrett-Hamilton, 1906)",BAT60,Non Endemic to South Asia,NEAR THREATENED  in South Asia ,"India Near Threatened 
Nepal Near Threatened  ",Nyctalus_montanus_map.pdf,"Pterygistes montanus  Barrett-Hamilton, 1906 ",Mountain Noctule,Vespertilionidae,"Insectivorous, also feeds on fish near riverbanks. ","Riparian (keeps near waterside), floodplains and riverine. ","Arid flood plain, rock cliff and crevices and overhanging vegetation during sunny days. 680-1692m. ",,"Afghanistan, India, Nepal ","AFGHANISTAN: Ismael Khel, Jalalabad: INDIA: Himachal Pradesh: Chamba; Uttaranchal: Mussoorie; NEPAL: Dang-Deokhuri, Dhang valley, Rapti river","> 20,000 sq km. ","> 2,000 sq km. ",7 / not known. Fragmented. ,"<10% decrease in area in the past 5 years due to deforestation, human activity and quarrying. Decrease in quality due to deforestation, ethno-medicine and quarry (anthropogenic activities).",Field study; observed.,,"Traditional medicine, habitat loss, deforestation, quarrying and mining. Threats will result in population decline. The influence on the population well understood, not reversible and have not ceased to be a threat.",Local trade for meat and ethnomedicine. ,"Field study, observed.",,4-6 years,Not known,Not known,,,"NEAR THREATENED 
Widely distributed but habitat and population under threat due to human interference. ",,"India Near Threatened 
Nepal Near Threatened  ",Assessed based on evidence and on the consensus of field biologists.,,Lower Risk near threatened,Lower Risk near threatened,,Not listed,None,,"Survey, ecology. ","Habitat management, monitoring ",,"Endemic to the Indian subcontinent.  WWF India - reports this species to be ""not uncommon in Kashmir"". Decline in population due to ill effects of pesticides, ethnomedicine and habitat alteration [Shrestha]","Bates & Harrison, 1997; Barrett-Hamilton, 1906; WWF India; Hutson  et al.  2001; Shrestha, 1997. ","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,"Shrestha in Nepal, 1994"
"Nyctalus noctula (Schreber, 1774)",BAT61,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"India Least Concern 
Nepal Least Concern 
Pakistan Least Concern ",Nyctalus_noctula_map.pdf,"Vespertilio noctula  Schreber, 1774
?Vesperugo (N.) plancyi  Gerbe, 1880 
Vespertilio labiata  Hodgson, 1835 ",Noctule,Vespertilionidae,"Insectivorous, colonial, migratory","Buildings, temples, montane forests, oak forests","Hollow trees, cellars, old ruins, rock crevices, haunted houses, feeds over wetlands, woodlands and pastures in Europe.  577-1231m.",,"India, Nepal, Myanmar","INDIA: Himachal Pradesh: Kangra, Mandi; Jammu & Kashmir: Pandrittan, Pompour, Punch; Nagaland: Mokokchung; Sikkim: Hee Gyathang, Lingtam; Uttaranchal: Gwaldam; West Bengal: Sangser, Tong Song; MYANMAR (NORTHERN): Chin Hills (60 mi West), Mahtum, Tamanthe; NEPAL: Kathmandu Valley, Godavari, Gari, Nuwakot; PAKISTAN: NWFP: Kohat ","> 20,000 sq km. ","> 2,000 sq km.  ",19 / not known. Contiguous. ,< 10 decrease in area likely in the next 5 years due to habitat change. Decrease in quality due to habitat alteration.,"Literature, indirect information; inferred. ",,Habitat loss,"Literature, indirect information; inferred.",,,4-6 years,"> 10,000. <10% decline in the number of mature individuals likely in the next 5 years.",Decline predicted in the next 5 years.,"Literature, indirect information; inferred.",,LEAST CONCERN  ,,"India Least Concern 
Nepal Least Concern 
Pakistan Least Concern ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey,Monitoring,,Known to migrate (up to 2000 km) in Europe and Russia. Actual estimate of population 8760 based on colony size of 40 individuals in 19 locations. Habibi refers to its occurrence in Afghanistan ,"Bates & Harrison, 1997; Gerbe, 1880; Hodgson, 1835; Hutson  et al.  2001; Schreber, 1774-1785; Sinha, 1999. ","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,"S. Mistry in Hee Gyathang, Sikkim, 1992"
"Otomops wroughtoni (Thomas, 1913)",BAT62,Non Endemic to South Asia,CRITICALLY ENDANGERED in South Asia [B2ab(iii)] ,,Otomops_wroughtonii_map.pdf,"Nyctinomus wroughtoni  Thomas, 1913 ",Wroughton's Free-tailed Bat,Molossidae,"Cave dweller, insectivorous, diurnal (?). ",Natural caves; Tropical rainforest; natural caves. ,Narrow cracks and deep hollows in roof. 800m.,,"India, Cambodia",INDIA: Karnataka: Barapede cave; Meghalaya: Siju cave,"< 5,000 sq km.",< 10 sq km. ,2 / 2. Fragmented.,>10% decrease in area in the last 5 years. Decrease in quality due to roost disturbance ,"Census/monitoring, field study, indirect information; observed; 95% confidence ",,"Human interference, research collections. The influence on the population well understood, not reversible and have not ceased to be a threat.",,"Census/monitoring, field study, indirect information; observed.",,4-6 years,< 250,Stable.  <10% decline in the population likely in the future.,"Census monitoring, field study, literature; inferred; 95% confidence.",,"CRITICALLY ENDANGERED  B2ab(iii) 
Highly restricted area with roost disturbance as a threat to the species. ",Critically Endangered ,,Assessed based on evidence and on the consensus of field biologists.,,Critically Endangered B1+2c,Critically Endangered B1+2c,,Not listed,None,,"Survey, limiting factor research, basic ecology. PHVA. ","Monitoring, public awareness",Information not available with this group. ,"Species easy to identify. Only one specimen was collected from Meghalaya using mist net. The population might be larger.  Recorded at Barapede cave, Karnataka, South India; one record in northeastern India and one record in Cambodia.  Meghalaya specimen needs authentication. Genetic research is currently being conducted to determine whether the SW, NE Indian populations are related and how these are related to the specimen recently collected from Combodia. Probably Barpede and Meghalaya specimens belong to two different populations. At Barapede, construction activities can submerge foraging areas and other roosting sites. Main threat is loss of roost site and disturbance at the roost. No loss of roost site was observed (M.S. Pradhan). Single population in need of special attention. If any activity detrimental to the location occurs it may wipe out the entire population of the species. More collections from the area recently. Barpede population as per A. Thabah's study last summer (2001). Population can decline due to habitat destruction in future.  If any activity detrimental to one location occurs it may wipeout the entire population of the species. Collection for the purpose of biochemical, genetical, cytological, histological, physiological studies etc. research has to be discouraged for next 5-10 years since the population is very small and stable and is occurring in limited habitat.","Bates & Harrison, 1997; Brosset, 1962; Hutson  et al.  2001; Thomas, 1913. ","D.P.S. Doss, V. Elangovan, A.M. Hutson, D.S. Joshi, G.H. Koli, A. Madhavan, K. Nathar, P. Padmanabhan, M.S. Pradhan, Y.S. Priya, P.J.E. Pandaranayaka, Y.P. Sinha, K.D. Yardi",Rest of the participants,"P.J.J. Bates, et al, 1992, Barapede Caves, Talawadi, Belgaum, Karnataka 
R. Krishnan, Barepede caves, Karnataka 
A. Thabah, Meghalaya, 2001 
S. Mistry & Parab, Barapede, July 2001, Population monitoring of Otomops
M. Muni, Barapede caves, Belgaum, 1992, Survey of bats
Ramakrishna and M.S. Pradhan in Barapade cave, March 2002. Status survey of O. wroughtonii in and around Barpade cave."
"Otonycteris hemprichii Peters, 1859",BAT63,Non Endemic to South Asia,NEAR THREATENED  in South Asia ,,Otonycteris_hemiprichii_map.pdf,"Otonycteris cinereus  Satunin, 1919",Hemiprich’s Long-eared Bat,Vespertilionidae,,"Steppe Mountain, Upland desert, dry, deciduous woodland ",Rock crevices.  Upto 2700m. ,,"India, Pakistan, Afghanistan","AFGHANISTAN: Maimana, Mazar-i-Sharif, Nauabad - Bagrami: INDIA: Jammu & Kashmir: Srinagar, Baderwah; Himachal Pradesh: Nagrota; PAKISTAN: Chitral (9.6km south of), Gilgit, Gupis Valley","> 20,000 sq km.","> 2,000 sq km.",9 / many. ,"Habitat loss, change in quality of habitat.",Indirect information; Inferred,,"Habitat loss, human interference",,,,4-6 years,Not known,Not known,Indirect information; literature; Inferred.,,"NEAR THREATENED 
Although widespread and many locations, the species is under thrat from habitat loss.  Mature individuals are thought to be less than 2500, but there is no justification.","India <b>Near Threatened</b>
Pakistan  <b>Near Threatened</b>",,Assessed based on inference and on the consensus of field biologists.,,Not Evaluated,Not Evaluated,,Not listed,None,,Survey,Monitoring,,Widespread species in an abundant habitat that is not threatened,"Bates & Harrison, 1997; Hutson  et al.  2001, Peters, 1859, Satunin, 1919","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,None
"Philetor brachypterus (Temminck, 1840)",BAT64,Non Endemic to South Asia,VULNERABLE  in South Asia [B1ab(iii)+2ab(iii)] ,"India  Endangered B1ab(iii)+2ab(iii) 
Nepal  Vulnerable B1ab(iii)+2ab(iii) ",Philetor_brachypterus_map.pdf,"Philetor rohui  Thomas, 1902 Eptesicus verecundus  Chasen, 1940",Rohu's Bat,Vespertilionidae,"Forest dweller, insectivore",Montane forest ,Hollow trees including coconut palms. 585-1846m. ,,"Indonesia, Nepal, New British island, New Guinea, Philippines, Western Malaysia","INDIA: Sikkim: Hee Gyathang; NEPAL: Barabisse, Num","5,001-20,000 sq km. ","501-2,000 sq km. ",3 / 3. Contiguous. ,< 10% decrease in area in the past 10 years due to human interference. Decrease in quality due to human interference. ,Indirect information; suspected.,,"Habitat loss, deforestation. The influence on the population not understood, not reversible and have not ceased to be a threat.",,,,4-6 years,Not known,<10% decline in population likely in the next 10 years.,"Indirect information; inferred, predicted.",,"VULNERABLE B1ab(iii)+2ab(iii) 
Restricted in distribution with threats to habitat due to deforestation.  Habitat quality has decreased and population likely to decline in future. ",,"India  Endangered B1ab(iii)+2ab(iii) 
Nepal  Vulnerable B1ab(iii)+2ab(iii) ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,"Survey, ecological research. ","Habitat management, monitoring, public awareness.",Techniques not known at all. ,"Synonyms cited in Bates & Harrison, 1997 is erroneous.  Only 3 sites.  Deforestation throughout much of Nepal. Probably very small population since despite many surveys in the Himalayas only 3 specimens have ever been collected.","Bates & Harrison, 1997; Chasen, 1940; Hutson  et al.  2001; Temminck, 1840; Thomas, 1902","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J. Koilraj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"S. Mistry, Sikkim, India, 1992, Survey "
"Pipistrellus abramus (Temminck, 1840)",BAT66,Non Endemic to South Asia,DATA DEFICIENT in South Asia  ,,Pipistrellus_abramus_map.pdf,"Vespertilio abramus  Temminck, 1840 ",Japanese Pipistrelle,Vespertilionidae,"Insectivorous, probably small colony",Not known,396m. ,,"China, India, Japan, Korea, Russia, Taiwan, Vietnam ","INDIA: Arunachal Pradesh: Rotung, Abor; Uttar Pradesh: Allahabad; MYANMAR (Northern): North Shan state, Namkam","> 20,000 sq km.",Not known,3 / not known. ,Not known,"Literature, Museum; Observed; 95% confidence",,Not known,,,,Not known,Not known,Not known,,,DATA DEFICIENT  ,Not Evaluated,,Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey,Monitoring,,Only known from museum specimens that were later identified as Pipistrellus abramus.  Recent specimen was collected from Allahabad.,"Temminck, 1840; Das & Sinha, 1995; Hutson  et al.  2001; Sinha, 1999; Srinivasulu & Srinivasulu, 2001","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,None
"Pipistrellus affinis (Dobson, 1871)",BAT67,Non Endemic to South Asia,NEAR THREATENED  in South Asia ,"India  Near Threatened 
Sri Lanka  Near Threatened ",Pipistrellus_affinis_map.pdf,"Vesperugo (Pipistrellus) affinis  Dobson, 1871 
Pipistrellus mordax  Phillips, 1980 ","Chocolate Pipistrelle, Grizzled Pipistrelle",Vespertilionidae,"Insectivore, low flying, hibernates (?), emerges early ",Highlands (?),"Cracks and small holes in tree trunks, roofs of manmade buildings.  1400-2000m. ",,"China, India, Myanmar, Nepal, Sri Lanka, Tibet","INDIA: Kerala: Wynaad; Maharashtra: Nandal, Nanded, Pune (?); Tamil Nadu: Kotagiri; Uttar Pradesh: Kumaon; West Bengal: Gopaldhara, Kolkata, Kurseong; SRI LANKA: Central Province: Nuwara Eliya; Uva Province: Haputale (west); NEPAL: Najarkot; MYANMAR (NORTHERN): Bhamo ","> 20,000 sq km. ","> 2,000 sq km. ",Many. Fragmented. ,Decrease in habitat < 10% likely in the next 10 years due to human interference.  Decrease in quality,"Field study, literature; inferred; 95% confidence",,"Human interference. The influence on the population not well understood, not reversible and have not ceased to be a threat.",,,,4-6 years,"< 2,500. <10% decline likely in the next 10 years.",<10% decline in the population in the past 10 years,Field study & literature; observed & inferred.,,"NEAR THREATENED  
Although widely distributed the habitat is under threat and the factors affecting the habitat have not ceased.  Decline in population size can be expected since there were no recent sightings from Kerala, Meghalaya and Sri Lanka. The number of locations may be declining.",Data Deficient ,"India  Near Threatened 
Sri Lanka  Near Threatened ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,"Survey, life history, basic ecological studies. ","Habitat management, monitoring, public awareness",,"This species was not recorded by Yapa & Digana in Sri Lanka, 1996-1999, (ecological survey), Shrestha in Nepal, 1999-2001 and Padmanabhan & Madhavan in Kerala. Wide distribution, in 6 countries. The number of locations may decline and hence the population numbers.  Small colonies (5-6), which leads to the current estimation on population numbers.","Bates & Harrison, 1997; Dobson, 1871; Hutson  et al.  2001; Phillips, 1980; Sharma & Sharma, 1969. ","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J. Koilraj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participant,"V.S. Korad & K.D. Yardi in Pune (?) in Maharashtra, 1998-2001, Ecological study of bats in Pune."
"Pipistrellus cadornae Thomas, 1916",BAT68,Non Endemic to South Asia,NEAR THREATENED  in South Asia ,,Pipistrellus_cadornae_map.pdf,,"Cadornae's Pipistrelle, Thomas's Pipistrelle",Vespertilionidae,Insectivorous,"Urban area near river, mountain valley, hills",Crevices in old buildings. ,,"India, Myanmar, Thailand, Vietnam","INDIA: Maharashtra: Karve's Mahilashram Hingane; West Bengal: Pashok; MYANMAR (NORTHERN): Htingnan, Ningma, Tasa Hku","< 20,000 sq km. ","> 2,000 sq km. ",2 / 3. Fragmented. ,Not known,"Field study, literature; inferred.",,"Human interference, building renovation in Pune threats in the past.",,,,4-6 years,Not known,Not known,,,"NEAR THREATENED 
It is present only in 2 fragmented locations.  Since threats are not properly known, as a precaution this is categorized as Near Threatened.",Data Deficient ,,Assessed based on evidence and on the consensus of field biologists.,,Lower Risk near threatened,Lower Risk near threatened,,Not listed,None,,"Survey, life history","Habitat management, monitoring",,Pune report needs to be confirmed. Fairly widespread geographical range. Rate of predation is high in Pipistrelles. Colony size in Pune 6 individuals only existing up to date information. Probably a forest dwelling species with a threat of habitat loss. There are chances of getting more colonies if proper survey is carried out in Pune [Korad & Yardi]. ,"Bates & Harrison, 1997; Hutson  et al.  2001; Thomas, 1916","P. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,"Korad, V.S. and Yardi, K.D., Karve's Mahilashram Hingane (?) , Pune, Maharashtra, India, 1999-2000, Ecological study and faunistic survey of bats in Pune city."
"Pipistrellus ceylonicus (Kelaart, 1852)",BAT69,Non Endemic to South Asia,LEAST CONCERN  in South Asia ,"Bangladesh  Least Concern 
India  Least Concern 
Pakistan  Least Concern 
Sri Lanka  Least Concern ",Pipistrellus_ceylonicus_map.pdf,"Scotophilus ceylonicus  Kelaart, 1852 
Pipistrellus ceylonicus subcanus  Thomas, 1915 
Pipistrellus chrysothrix  Wroughton, 1899 
Vesperugo indicus  Dobson, 1878 ",Bengali: Kelaarter Chamchika  English: Kelaart's Pipistrelle,Vespertilionidae,,Tropical thorn to highlands,"Tree holes, cracks in walls, wells, temples, roller blinds. 2153m. ",,"Bangladesh, China, India, Myanmar, Pakistan, Sri Lanka, Vietnam, northern Borneo","BANGLADESH: no exact location, Widespread: INDIA: Andhra Pradesh: Andra Pradesh (throughout), Visakhapatnam; Bihar: Chota Nagpur, Dhanbad, Luia; Goa: Mol; Gujarat: Ahmedabad, Anand, Baroda, Bhuj, Broach, Bulsar, Charwa, Junagadh, Keshod, Khirasara, Mheskatri, Rajkot, Rajpipla, Sasan, Talala, Yalala; Karnataka: Astoli, Bangalore, Bellary, Dharwar, Gadag, Haleri, Honawar, Jellopur, Kadakola, Kyasanur, Mangalore, Mercara, Seringapatnam, Sirsi, Sivasamudram, Srimangala, Vijayanagar, Wotekolli; Kerala: Thrissur, Wynaad; Madhya Pradesh: Jabalpur, Mandu; Maharashtra: Ajanta, Andheri, Aurangabad, Bandra, Belgaon, Bombay, Chikalda, Helwak, Junnar, Karla, Lanje, Lonavla, Nagpur, Nanded, Nasik, Panchgani, Pune, Satara, Thana; Orissa: Koraput, Sambalpur, Sundargarh; Rajasthan: Mount Abu; Tamil Nadu: Nilgiri Hills; West Bengal: Kolkata; MYANMAR (NORTHERN): Pyaunggaung; PAKISTAN: Karachi, Khanewal, Landhi, Lyallpur, Malir, Thatta; SRI LANKA: Central Province: Dambulla, Dikoya, Kandy, Madulkele, Nuwara Eliya, Rattota; Eastern Province: Trincomalee; Uva Province: Bandaraawela, Haputale, Horton Plains, Namunukula, Ohiya, Passara; Western Province: Kalutara; Unknown province: Talawakele","> 20,000 sq km",> 2000 sq km,Many,Not known,Literature; inferred.,,"Exploitation, hunting, hunting for medicine. The influence on the population well understood, not reversible and have not ceased to be a threat.",,,,4-6 years,"> 10,000",Trends not known.,"Literature; inferred, suspected",,"LEAST CONCERN 
Widely distributed species, many locations, well adapted to changes and no influence of threats on the population identified. ",,"Bangladesh  Least Concern 
India  Least Concern 
Pakistan  Least Concern 
Sri Lanka  Least Concern ",Assessed based on inference and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey ,Monitoring,,"Many populations located in large number of sites in India and Sri Lanka. Although threats have been sighted / identified, many researchers think that there will be no influence on the population considering their huge numbers.","Bates & Harrison, 1997; Dobson, 1878; Harshey & Chandra, 2001; Hutson  et al.  2001; Kelaart, 1852. 1853; Khan, 2001; Nagulu  et al.  2000; Rao  et al.  2000; Srinivasulu & Nagulu, 2002; Thomas, 1915; Wroughton, 1899 ","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J. Koilraj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"Bates et al., Rajkot, 1992 BNHS, many locations, 1901-1924 ZSI, many locations, 1978-80
W. Yapa & P.C.M.B. Bandara. Sri Lanka. 1996-1999. Ecological survey
C. Srinivasulu in Andhra Pradesh, 1995 onwards, Documentation of Chiropteran diversity in Andhra Pradesh "
